Order_ID,Order_Date,Customer_Name,State,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Discount,Profit
ORD-10001,07-Oct-2025,Customer 023,Jharkhand,East,Technology,Electronics,Bluetooth Speaker,4,7978.49,0.00,1638.11
ORD-10002,29-Nov-2025,Customer 180,Tamil Nadu,South,Technology,Phones,Smartphone X1,4,8197.73,0.00,1654.24
ORD-10003,24-Jun-2025,Customer 072,Tamil Nadu,South,Technology,Accessories,Mechanical Keyboard,1,4846.03,0.05,859.26
ORD-10004,06-Nov-2025,Customer 068,Maharashtra,West,Technology,Accessories,USB-C Hub,2,4645.73,0.20,408.60
ORD-10005,13-Nov-2025,Customer 093,West Bengal,East,Furniture,Tables,Work Desk,7,10797.12,0.15,969.82
ORD-10006,21-Feb-2025,Customer 098,Rajasthan,West,Furniture,Chairs,Ergonomic Chair,4,28919.73,0.00,5290.83
ORD-10007,26-Dec-2025,Customer 175,Delhi,North,Office Supplies,Writing,Highlighter Pack,3,1035.58,0.10,263.49
ORD-10008,24-Nov-2025,Customer 177,Odisha,East,Furniture,Storage,Filing Cabinet,4,7423.62,0.25,74.70
ORD-10009,03-Feb-2025,Customer 055,Goa,West,Furniture,Tables,Work Desk,4,24352.19,0.20,1193.89
ORD-10010,13-Mar-2025,Customer 064,Punjab,North,Technology,Electronics,Power Bank,7,28572.70,0.30,57.15
ORD-10011,16-Feb-2025,Customer 013,Delhi,North,Furniture,Storage,Wall Shelf,7,26756.76,0.05,3948.91
ORD-10012,28-Aug-2025,Customer 136,Jharkhand,East,Technology,Electronics,Webcam HD,7,21835.65,0.25,790.43
ORD-10013,11-Aug-2025,Customer 041,Delhi,North,Furniture,Chairs,Ergonomic Chair,5,28780.28,0.20,1345.79
ORD-10014,02-Jun-2025,Customer 164,Telangana,South,Technology,Electronics,Bluetooth Speaker,3,10933.66,0.00,2275.66
ORD-10015,05-Jul-2025,Customer 079,Rajasthan,West,Technology,Accessories,Wireless Mouse,1,2921.72,0.30,-100.72
ORD-10016,30-Sep-2025,Customer 033,Goa,West,Technology,Phones,Smartphone X1,2,9890.13,0.00,2092.74
ORD-10017,04-Oct-2025,Customer 177,Maharashtra,West,Furniture,Tables,Study Table,5,19934.46,0.25,460.30
ORD-10018,26-Apr-2025,Customer 017,Rajasthan,West,Furniture,Tables,Conference Table,6,19392.16,0.30,-381.84
ORD-10019,17-Jan-2025,Customer 085,Punjab,North,Technology,Electronics,Webcam HD,4,2966.83,0.00,528.31
ORD-10020,20-Oct-2025,Customer 148,Odisha,East,Furniture,Chairs,Visitor Chair,8,21819.96,0.05,3272.05
ORD-10021,30-Jul-2025,Customer 120,Kerala,South,Technology,Accessories,Laptop Stand,4,3741.27,0.25,105.33
ORD-10022,25-Feb-2025,Customer 064,West Bengal,East,Furniture,Storage,Bookshelf,1,3472.36,0.20,245.76
ORD-10023,08-Feb-2025,Customer 114,Rajasthan,West,Technology,Electronics,Power Bank,3,8024.63,0.15,813.56
ORD-10024,06-Sep-2025,Customer 124,Jharkhand,East,Technology,Electronics,LED Monitor 24,2,10931.27,0.10,1395.64
ORD-10025,21-Aug-2025,Customer 074,Rajasthan,West,Office Supplies,Paper,Notebook Set,7,429.28,0.25,-5.91
ORD-10026,24-Oct-2025,Customer 139,Tamil Nadu,South,Furniture,Storage,Wall Shelf,3,7239.25,0.10,945.00
ORD-10027,18-Sep-2025,Customer 021,West Bengal,East,Furniture,Tables,Work Desk,1,5468.76,0.05,700.29
ORD-10028,21-Jan-2025,Customer 159,Gujarat,West,Technology,Electronics,LED Monitor 24,4,10950.83,0.10,1497.30
ORD-10029,22-Jul-2025,Customer 034,Odisha,East,Office Supplies,Writing,Highlighter Pack,5,989.97,0.20,85.78
ORD-10030,20-Apr-2025,Customer 130,Uttar Pradesh,North,Office Supplies,Storage,File Folder,1,455.79,0.00,25.20
ORD-10031,06-Oct-2025,Customer 078,Delhi,North,Technology,Accessories,USB-C Hub,4,10804.38,0.05,1794.90
ORD-10032,24-Feb-2025,Customer 142,Bihar,East,Furniture,Storage,Drawer Unit,2,16194.94,0.05,2332.23
ORD-10033,09-May-2025,Customer 014,Maharashtra,West,Office Supplies,Storage,Document Box,6,1259.44,0.15,231.15
ORD-10034,15-May-2025,Customer 042,Odisha,East,Furniture,Tables,Laptop Table,1,1166.27,0.05,204.93
ORD-10035,09-Jul-2025,Customer 150,Telangana,South,Furniture,Storage,Wall Shelf,1,1968.99,0.05,301.37
ORD-10036,18-Apr-2025,Customer 175,Maharashtra,West,Office Supplies,Paper,A4 Paper Pack,5,1895.07,0.00,626.36
ORD-10037,02-May-2025,Customer 042,Goa,West,Furniture,Chairs,Visitor Chair,7,58492.93,0.05,8729.89
ORD-10038,08-May-2025,Customer 069,Gujarat,West,Office Supplies,Paper,Notebook Set,6,3247.01,0.25,454.06
ORD-10039,24-Aug-2025,Customer 090,Gujarat,West,Furniture,Chairs,Study Chair,1,7107.32,0.10,745.24
ORD-10040,23-May-2025,Customer 090,Uttar Pradesh,North,Technology,Phones,Smartphone X1,4,10237.75,0.15,1136.81
ORD-10041,16-May-2025,Customer 010,Karnataka,South,Furniture,Storage,Drawer Unit,1,1784.72,0.15,70.10
ORD-10042,23-Oct-2025,Customer 049,Jharkhand,East,Furniture,Tables,Laptop Table,6,27623.23,0.00,4944.63
ORD-10043,05-Feb-2025,Customer 171,Delhi,North,Technology,Electronics,Power Bank,1,3343.98,0.10,418.85
ORD-10044,23-Dec-2025,Customer 076,Punjab,North,Furniture,Tables,Work Desk,5,19333.33,0.25,296.62
ORD-10045,01-Jan-2025,Customer 078,Maharashtra,West,Technology,Accessories,Laptop Stand,3,10888.47,0.15,1093.53
ORD-10046,28-Mar-2025,Customer 169,Uttar Pradesh,North,Technology,Accessories,Mechanical Keyboard,8,23488.98,0.10,3173.69
